Var2_clusterID	Var1_clusterID	Var2	Var1	corr_coeff	pval	Var1_central_node	Var2_central_node
0	74	Collinsella_sp002232035	CAG-81_sp900066535	-0.0505	0.8222	TLL90_bin.66.fasta	TLL10_bin.21.fasta
0	22	Collinsella_sp002232035	Agathobaculum_butyriciproducens	-0.2986	0.1419	TLL73_bin.62.fasta	TLL10_bin.21.fasta
0	13	Collinsella_sp002232035	Acetatifactor_sp900066565	-0.2043	0.2947	TLL23_bin.43.fasta	TLL10_bin.21.fasta
0	50	Collinsella_sp002232035	Blautia_A_massiliensis	0.0833	0.6663	TLL15_bin.16.fasta	TLL10_bin.21.fasta
0	614	Collinsella_sp002232035	Collinsella_SGB_14400	0.9337	0.001	TLL12_bin.19.fasta	TLL10_bin.21.fasta
0	162	Collinsella_sp002232035	Collinsella_SGB_14425	0.9032	0.001	TLL72_bin.74.fasta	TLL10_bin.21.fasta
0	144	Collinsella_sp002232035	Collinsella_aerofaciens_E	0.8471	0.001	TLL57_bin.37.fasta	TLL10_bin.21.fasta
0	541	Collinsella_sp002232035	Blautia_SGB_4795	-0.455	0.022	TLL101_bin.55.fasta	TLL10_bin.21.fasta
0	34	Collinsella_sp002232035	Blautia_A_wexlerae	-0.3122	0.1329	TLL97_bin.80.fasta	TLL10_bin.21.fasta
0	452	Collinsella_sp002232035	Alistipes_putredinis	-0.0168	0.9431	TLL100_bin.80.fasta	TLL10_bin.21.fasta
0	284	Collinsella_sp002232035	Bifidobacterium_longum	0.0675	0.7073	TLL98_bin.70.fasta	TLL10_bin.21.fasta
0	66	Collinsella_sp002232035	Bacteroides_B_massiliensis	-0.1495	0.4625	TLL27_bin.51.fasta	TLL10_bin.21.fasta
0	101	Collinsella_sp002232035	Agathobacter_rectale	-0.0462	0.8412	TLL04_bin.33.fasta	TLL10_bin.21.fasta
0	154	Collinsella_sp002232035	Anaerostipes_hadrus	0.1083	0.6034	TLL43_bin.39.fasta	TLL10_bin.21.fasta
0	658	Collinsella_sp002232035	Bifidobacterium_catenulatum	-0.1912	0.3526	TLL38_bin.25.fasta	TLL10_bin.21.fasta
0	523	Collinsella_sp002232035	Blautia_A_sp003471165_ERR1578675_bin.45	-0.3379	0.0959	TLL34_bin.16.fasta	TLL10_bin.21.fasta
0	280	Collinsella_sp002232035	Bifidobacterium_adolescentis	0.0843	0.7063	TLL74_bin.113.fasta	TLL10_bin.21.fasta
0	166	Collinsella_sp002232035	Bacteroides_xylanisolvens	-0.3191	0.0839	TLL72_bin.39.fasta	TLL10_bin.21.fasta
0	430	Collinsella_sp002232035	Clostridium_SGB_4780	0.192	0.3427	TLL97_bin.22.fasta	TLL10_bin.21.fasta
0	334	Collinsella_sp002232035	Collinsella_SGB_14507	0.9802	0.001	TLL96_bin.12.fasta	TLL10_bin.21.fasta
0	90	Collinsella_sp002232035	CAG-41_sp900066215	0.532	0.012	TLL89_bin.92.fasta	TLL10_bin.21.fasta
0	672	Collinsella_sp002232035	Bacteroides_coprocola_SGB_1891	-0.3099	0.1209	TLL53_bin.50.fasta	TLL10_bin.21.fasta
0	214	Collinsella_sp002232035	Bacteroides_thetaiotaomicron	-0.3653	0.0699	TLL15_bin.24.fasta	TLL10_bin.21.fasta
0	60	Collinsella_sp002232035	Bacteroides_ovatus	-0.3	0.1209	TLL09_bin.26.fasta	TLL10_bin.21.fasta
0	606	Collinsella_sp002232035	Blautia_A_sp900066335	0.0306	0.8831	TLL02_bin.63.fasta	TLL10_bin.21.fasta
0	18	Collinsella_sp002232035	Bifidobacterium_pseudocatenulatum	-0.1921	0.3297	TLL49_bin.59.fasta	TLL10_bin.21.fasta
0	33	Collinsella_sp002232035	Bacteroides_B_vulgatus	-0.2732	0.1648	TLL27_bin.76.fasta	TLL10_bin.21.fasta
